latitude,longitude,postal_code
33.44510946,-112.0668239,85034
33.4151843,-111.8314724,85201
33.63909912,-112.3957596,85374
33.4483771,-112.0740373,85004
33.1702778,-111.5722222,85140
33.3061605,-111.8412502,85226
33.8333716,-111.9507042,85331
33.383932,-111.6849409,85206
33.68514101,-112.1168585,85027
40.1164204,-88.2433829,61820
35.26162163,-81.14104573,28054
35.2270869,-80.8431267,28280
35.0870164,-80.8773893,28134
35.15703382,-80.89002019,28217
36.16000372,-115.118578,89101
36.1699412,-115.1398296,89101
36.49948828,-114.7594796,89025
36.16947883,-115.1410046,89101
36.10293123,-115.1765442,89109
36.11327735,-115.0632865,89122
36.175,-115.136389,89101
36.0469032,-115.1722269,89123
36.17012963,-115.2908726,89144
36.16993259,-115.1419624,89101
41.49932,-81.6943605,44113
41.50172312,-81.52026191,44121
40.45382239,-79.98028487,15222
40.4406248,-79.9958864,15219
35.0073697,-80.9450759,29715
43.0755245,-89.3989878,53703
